TAZID,CO_TAZID,DevAcres,HH,Job,Job_byAuto,Job_byTran,Job_byBike,Job_byWalk,act_Job_byAuto,act_Job_byTran,act_Job_byBike,act_Job_byWalk,Loss_Job_Cong,Loss_Job_Net,Loss_Job_Abs,act_Loss_Job_Cong,act_Loss_Job_Net,act_Loss_Job_Abs,HH_byAuto,HH_byTran,HH_byBike,HH_byWalk,act_HH_byAuto,act_HH_byTran,act_HH_byBike,act_HH_byWalk,Loss_HH_Cong,Loss_HH_Net,Loss_HH_Abs,act_Loss_HH_Cong,act_Loss_HH_Net,act_Loss_HH_Abs,tmp_Job_byTran_wk,tmp_Job_byTran_dr,tmp_HH_byTran_wk,tmp_HH_byTran_dr,tmp_Job_byAuto_FF,tmp_Job_byAuto_SL,tmp_HH_byAuto_FF,tmp_HH_byAuto_SL
         1,     30001,582.086695,         0,         0,     30650,         0,       326,         0,         0,         0,         0,         0,     -3225,    -49512,    -52736,         0,         0,         0,     18973,         0,       153,         9,         0,         0,         0,         0,     -1962,    -32894,    -34856,         0,         0,         0,         0,         0,         0,         0,     33874,     83386,     20936,     53830
         2,     30002,134.110399,      11.6,         0,     32976,         0,       229,         0,    382524,         0,      2656,         0,     -3824,    -46757,    -50581,    -44356,   -542385,   -586741,     20475,         0,       136,        12,         0,         0,         0,         0,     -2263,    -31159,    -33421,         0,         0,         0,         0,         0,         0,         0,     36800,     83557,     22737,     53896
         3,     30003,636.842231,      12.5,         0,     53313,        49,       630,         0,    666412,       607,      7870,         0,    -14596,    -29046,    -43642,   -182449,   -363075,   -545524,     34751,        52,       173,        13,         0,         0,         0,         0,     -6661,    -21165,    -27826,         0,         0,         0,         0,        49,         0,        52,     67909,     96955,     41412,     62577
         4,     30004,371.455595,       2.9,         0,     48001,        35,       462,         0,    139203,       101,      1339,         0,    -11238,    -30470,    -41708,    -32590,    -88362,   -120952,     30928,        36,       160,         3,         0,         0,         0,         0,     -5285,    -21697,    -26982,         0,         0,         0,         0,        35,         0,        36,     59239,     89709,     36213,     57910
         5,     30005,1021.14860,      50.1,       2.3,     37721,         0,      1277,         2,   1889835,         0,     63984,       115,     -5231,    -53564,    -58795,   -262081,  -2683568,  -2945649,     23696,         0,       861,        50,     54501,         0,      1979,       115,     -2859,    -35734,    -38593,     -6576,    -82188,    -88764,         0,         0,         0,         0,     42952,     96517,     26555,     62289
         6,     30006,466.806807,       3.9,       4.8,     55117,        53,      1203,         5,    214954,       207,      4693,        19,    -15609,    -32969,    -48579,    -60876,   -128580,   -189456,     36008,        57,       441,         4,    172836,       275,      2116,        19,     -7143,    -23809,    -30951,    -34286,   -114281,   -148567,         0,        53,         0,        57,     70726,    103695,     43150,     66959
         7,     30007,790.695572,      43.3,      26.0,     53822,        50,       925,        26,   2330493,      2160,     40037,      1126,    -14874,    -35842,    -50717,   -644063,  -1551969,  -2196033,     35104,        54,       203,        43,    912714,      1395,      5282,      1126,     -6789,    -25650,    -32439,   -176515,   -666909,   -843424,         0,        50,         0,        54,     68696,    104539,     41893,     67544
         8,     30008,1096.14708,      41.4,      45.8,     51978,        40,      7524,        46,   2151875,      1676,    311480,      1896,    -12629,    -48609,    -61238,   -522860,  -2012392,  -2535251,     33749,        43,      4207,        46,   1545694,      1967,    192675,      2087,     -5836,    -33540,    -39376,   -267274,  -1536153,  -1803426,         0,        40,         0,        43,     64607,    113216,     39584,     73125
         9,     30009,393.372048,      10.6,      55.2,     69338,       104,      2579,        86,    734985,      1100,     27341,       914,    -22642,    -27686,    -50328,   -240002,   -293475,   -533477,     45630,       102,       816,        19,   2518753,      5646,     45043,      1073,    -10950,    -20665,    -31615,   -604430,  -1140692,  -1745122,         0,       104,         0,       102,     91980,    119666,     56579,     77244
        10,     30010,901.614282,      16.4,      57.6,     71033,       114,      4222,        87,   1164943,      1867,     69245,      1432,    -23331,    -25821,    -49153,   -382635,   -423472,   -806107,     46784,       111,      1674,        22,   2694774,      6383,     96408,      1273,    -11327,    -19476,    -30802,   -652416,  -1121790,  -1774206,         0,       114,         0,       111,     94365,    120186,     58111,     77586
        11,     30011,1280.56028,       2.9,         0,     64526,        85,      3960,         0,    187126,       247,     11484,         0,    -20400,    -44342,    -64742,    -59160,   -128591,   -187751,     42390,        84,      1251,         3,         0,         0,         0,         0,     -9680,    -31490,    -41171,         0,         0,         0,         0,        85,         0,        84,     84926,    129268,     52070,     83561
        12,     30012,599.771853,      12.5,         0,     75509,       142,      7726,         0,    943865,      1776,     96579,         0,    -25290,    -32336,    -57626,   -316124,   -404200,   -720324,     49775,       135,      3300,        13,         0,         0,         0,         0,    -12429,    -23825,    -36254,         0,         0,         0,         0,       142,         0,       135,    100799,    133135,     62204,     86028
        13,     30013,278.359848,         0,         0,     85217,      1792,     10202,         0,         0,         0,         0,         0,    -29058,    -24367,    -53425,         0,         0,         0,     56396,      2070,      4826,         4,         0,         0,         0,         0,    -14639,    -18451,    -33090,         0,         0,         0,         0,      1792,         0,      2070,    114274,    138641,     71035,     89486
        14,     30014,227.153493,         0,         0,     79631,      1743,     11094,       204,         0,         0,         0,         0,    -26970,    -25635,    -52605,         0,         0,         0,     52627,      1880,      5492,         1,         0,         0,         0,         0,    -13415,    -19355,    -32770,         0,         0,         0,         0,      1743,         0,      1880,    106601,    132236,     66041,     85397
